,ReplayFingerPrint,TeamName,Team,Battletag
2534,165a7f28-b9cd-e1bc-1d88-7030d55b2d74,ycmyccastep7:cheeseawakens,0,5
2536,165e833f-5360-4fe3-0299-30bcd5d767ff,30 seconds to mosh,0,5
2547,16805ab1-4689-9102-f5f7-772cd8db4cb0,ff & the pancakes,1,5
2609,1701490e-de70-f0d2-5e7e-b60acf5e62ae,out of pocket,1,5
2665,1775cfa9-2326-4fb9-790e-1efd6d9d6e51,30 seconds to mosh,0,5
2726,18030686-2d2e-6b62-655d-ced3f36223cb,ff & the pancakes,0,5
2757,184283c0-fb07-12e0-80f6-dbdc2a0aae85,ff & the pancakes,1,5
2775,1871a768-8859-7bf6-d9c9-4b7e5da87dd7,ff & the pancakes,0,5
2827,18d76eb5-274c-6708-d40c-fc9368db05cb,30 seconds to mosh,0,5
2857,191e6f4a-ba87-7838-ab89-35e44c193e85,30 seconds to mosh,0,5
2907,19a3df01-7501-4786-315f-4fcc2350f38b,ff & the pancakes,1,5
2908,19a42a0a-54db-b70e-4368-0ee012404d8f,ff & the pancakes,1,5
2924,19c26c7e-6a41-a007-dd5a-c4d836ce3810,ycmyccastep7:cheeseawakens,1,5
2925,19c36f00-d65f-1553-caf5-a852aa709186,ycmyccastep7:cheeseawakens,0,5
2943,19e8fb47-3822-8c4d-46bf-b7a7923bd03b,30 seconds to mosh,1,5
2973,1a298d3a-bcdb-b632-423c-080396256dfc,30 seconds to mosh,0,5
3091,1b4c8780-367b-c709-7836-89da69ad7d15,ff & the pancakes,1,5
3115,1b9587f1-84b4-b0e8-d21c-b95c9cc977ed,30 seconds to mosh,0,5
3153,1bde6394-ae7f-5fa8-a9ec-4677c36991a1,30 seconds to mosh,1,5
3155,1be038f2-9920-b319-abb4-b17d0ab62807,30 seconds to mosh,1,5
3292,1d24779a-6ff6-2352-39f7-bc56061a09ae,30 seconds to mosh,0,5
3309,1d565be0-568b-8de5-d613-f517322814a5,ff & the pancakes,1,5
3404,1e30407a-6c33-3ca3-6b48-afc0dbc5e03c,ff & the pancakes,0,5
3421,1e632cf0-af38-77c2-2a84-31cf13e73a75,gold dragons,0,5
