TeamName,HeroName,NewRole,Games,Wins,WinRate
smoke,Cassia,Ranged Assassin,1,1,1.0
smoke,Dehaka,Bruiser,2,1,0.5
smoke,Diablo,Tank,3,3,1.0
smoke,Garrosh,Tank,2,1,0.5
smoke,Gazlowe,Bruiser,2,2,1.0
smoke,Gul'dan,Ranged Assassin,2,2,1.0
smoke,Johanna,Tank,4,4,1.0
smoke,Junkrat,Ranged Assassin,2,1,0.5
smoke,Kel'Thuzad,Ranged Assassin,1,0,0.0
smoke,Leoric,Bruiser,1,1,1.0
smoke,Li-Ming,Ranged Assassin,2,2,1.0
smoke,Malthael,Bruiser,1,0,0.0
smoke,Mei,Tank,3,2,0.67
smoke,Mephisto,Ranged Assassin,1,1,1.0
smoke,Orphea,Ranged Assassin,1,1,1.0
smoke,Raynor,Ranged Assassin,2,2,1.0
smoke,Rehgar,Healer,2,2,1.0
smoke,Samuro,Melee Assassin,1,1,1.0
smoke,Stitches,Tank,1,0,0.0
smoke,Stukov,Healer,1,1,1.0
smoke,Sylvanas,Ranged Assassin,2,2,1.0
smoke,Thrall,Bruiser,1,1,1.0
smoke,Tychus,Ranged Assassin,4,4,1.0
smoke,Tyrande,Healer,1,1,1.0
smoke,Valla,Ranged Assassin,1,1,1.0
smoke,Xul,Bruiser,1,1,1.0
souls in slowmo,Abathur,Support,1,0,0.0
souls in slowmo,Alarak,Melee Assassin,2,0,0.0
souls in slowmo,Ana,Healer,5,4,0.8
souls in slowmo,Anduin,Healer,8,2,0.25
souls in slowmo,Anub'arak,Tank,9,3,0.33
souls in slowmo,Artanis,Bruiser,1,0,0.0
souls in slowmo,Azmodan,Ranged Assassin,1,1,1.0
souls in slowmo,Blaze,Tank,3,0,0.0
souls in slowmo,Brightwing,Healer,4,1,0.25
souls in slowmo,Cassia,Ranged Assassin,3,2,0.67
souls in slowmo,Chen,Bruiser,1,1,1.0
souls in slowmo,Chromie,Ranged Assassin,1,0,0.0
souls in slowmo,Dehaka,Bruiser,1,1,1.0
