index,PlayerId,BlizzardId,TeamName,TeamRank,Battletag,AccountLevel,Rank,Level,SL_MMR,LastNinety,GamesPlayed,Bruiser,Healer,Support,Tank,DPS,Melee,Ranged,FirstPlayed,LastPlayed
35,96260,5017679,infernal misfits,S1,joedimmortal#1579,766,G3,13,2600.0,256,704,105,104,18,146,181,43,138,2022-07-08 23:45:05,2022-09-07 01:57:25
36,96261,6987080,infernal misfits,S1,lonewolf#14187,1079,G3,13,3096.0,509,1886,298,273,7,134,973,71,902,2022-07-08 23:45:05,2022-09-07 01:57:25
37,95766,10299099,infernal misfits,S1,skillz912#1984,389,G5,11,2599.0,193,379,15,13,0,15,231,141,90,2022-07-08 23:45:05,2022-09-07 01:57:25
38,4251,8167860,infernal misfits,S1,n8thanael#11836,1077,G5,11,2705.0,304,5455,890,918,15,1238,2205,1028,1177,2022-07-08 23:45:05,2022-09-07 01:57:25
39,96259,8961870,infernal misfits,S1,wyagon#1594,816,S4,7,2514.0,211,1876,341,258,114,203,797,226,571,2022-07-08 23:45:05,2022-09-07 01:57:25
40,96263,8931566,gold dragons,S3,baradin#11218,1116,B1,5,2474.0,419,3035,225,148,15,145,353,59,294,2022-07-25 02:03:32,2022-09-08 03:48:40
41,14237,987653,gold dragons,S3,bgevespmg#1979,812,B2,4,2440.0,238,1548,124,142,12,138,141,33,108,2022-07-25 02:03:32,2022-09-08 03:48:40
42,58030,980402,gold dragons,S3,scoopdogg#1444,672,S5,6,2354.0,224,1008,91,153,8,193,272,58,214,2022-07-25 02:03:32,2022-09-08 03:48:40
43,58033,7798962,gold dragons,S3,nicepants#11833,958,S3,8,2570.0,148,1488,206,220,123,452,441,127,314,2022-07-25 02:03:32,2022-09-08 03:48:40
44,58032,2162247,gold dragons,S3,heneo#1255,658,G5,11,2442.0,183,748,35,348,5,30,156,17,139,2022-07-25 02:03:32,2022-09-08 03:48:40
45,107842,93131,gold dragons,S3,tito#1296,718,G4,12,2628.0,201,1504,166,497,80,138,623,30,593,2022-07-25 02:03:32,2022-09-08 03:48:40
46,115,4323646,ff & the pancakes,S2,yager#1969,982,B4,2,2365.0,112,3056,662,597,10,1430,302,44,258,2020-10-02 01:36:34,2022-09-08 02:43:11
47,20,6305177,ff & the pancakes,S2,courtney#11205,1769,G2,14,2724.0,191,5945,759,875,300,390,3539,539,3000,2020-10-02 01:36:34,2022-09-08 02:43:11
48,11599,7779980,ff & the pancakes,S2,grumpykitten#134316,97,S3,8,2368.0,33,158,61,26,0,37,15,6,9,2020-10-02 01:36:34,2022-09-08 02:43:11
49,66,5077604,ff & the pancakes,S2,mrg#1722,1583,S2,9,2456.0,81,3477,207,875,7,300,2036,21,2015,2020-10-02 01:36:34,2022-09-08 02:43:11
50,1568,5209540,ff & the pancakes,S2,mrsiw#1233,1235,B1,5,2468.0,60,2365,467,479,2,878,502,35,467,2020-10-02 01:36:34,2022-09-08 02:43:11
51,114,5317709,ff & the pancakes,S2,xyxgy#1443,1930,G4,12,2619.0,360,5684,854,1911,242,1071,1496,108,1388,2020-10-02 01:36:34,2022-09-08 02:43:11
52,96,4898590,ff & the pancakes,S2,stampy#1261,2460,G2,14,2748.0,267,8732,555,649,317,557,6524,3482,3042,2020-10-02 01:36:34,2022-09-08 02:43:11
53,58027,1655651,chogall chocolate factory,S1,amaye#11522,1029,P2,19,1970.0,20,937,148,98,32,131,524,189,335,,
54,58026,9398601,chogall chocolate factory,S1,vixmakina#1499,687,G5,11,2675.0,271,1293,72,650,16,18,392,53,339,,
55,729,877531,chogall chocolate factory,S1,bluddydrapes#1110,1133,B1,5,2403.0,162,2270,942,138,9,533,563,69,494,,
56,133208,11054950,chogall chocolate factory,S1,rothgar#11880,346,S2,9,2576.0,122,878,102,83,8,159,515,12,503,,
57,46642,4610072,chogall chocolate factory,S1,autumn#13665,755,S5,6,2488.0,249,3852,417,656,21,208,2439,5,2434,,
58,13152,3586915,bunker fun time academy,B2,xorcist#1130,1527,S4,7,2533.0,312,5881,826,668,9,219,4133,610,3523,2022-08-16 03:56:27,2022-09-08 02:52:46
59,136,2159328,bunker fun time academy,B2,judochop#11382,1272,B1,5,2317.0,45,3577,1065,584,196,1432,275,12,263,2022-08-16 03:56:27,2022-09-08 02:52:46
60,96243,10583053,bunker fun time academy,B2,puffdogg#11728,230,B5,1,2441.0,321,839,188,391,0,17,55,4,51,2022-08-16 03:56:27,2022-09-08 02:52:46
61,50925,439280,bunker fun time academy,B2,sarge#1892,2124,B5,1,2291.0,434,4255,439,45,2,2488,1019,11,1008,2022-08-16 03:56:27,2022-09-08 02:52:46
62,45607,205693,bunker fun time academy,B2,oldlady#11837,1765,S5,6,2491.0,292,1249,159,107,1,409,379,12,367,2022-08-16 03:56:27,2022-09-08 02:52:46
63,20722,1571902,bunker fun time academy,B2,peldor#1697,1040,S4,7,2568.0,206,943,159,128,12,164,350,20,330,2022-08-16 03:56:27,2022-09-08 02:52:46
64,81162,5128074,beyonce gnolls,S1,opiates#1991,1325,B1,5,2394.0,21,1246,178,366,34,255,393,66,327,2021-12-10 01:27:27,2022-09-08 03:43:52
65,592,4002586,beyonce gnolls,S1,combinatoric#1540,866,G2,14,2659.0,19,2007,377,187,135,396,896,112,784,2021-12-10 01:27:27,2022-09-08 03:43:52
66,591,486904,beyonce gnolls,S1,meanb#1846,937,G2,14,2534.0,2,3457,639,578,47,733,1460,299,1161,2021-12-10 01:27:27,2022-09-08 03:43:52
67,594,920214,beyonce gnolls,S1,ramsey#1316,532,G4,12,2499.0,20,225,20,33,27,14,121,6,115,2021-12-10 01:27:27,2022-09-08 03:43:52
68,590,5196473,beyonce gnolls,S1,the#1188,824,S5,6,2505.0,39,1989,349,360,10,501,742,39,703,2021-12-10 01:27:27,2022-09-08 03:43:52
69,599,7910994,beyonce gnolls,S1,lycaena#1716,901,S3,8,2523.0,103,1236,56,821,0,104,191,8,183,2021-12-10 01:27:27,2022-09-08 03:43:52
70,589,5195843,beyonce gnolls,S1,beaubinski#1886,1295,S2,9,2605.0,57,3420,945,517,53,781,1085,309,776,2021-12-10 01:27:27,2022-09-08 03:43:52
71,58,741150,30 seconds to mosh,S2,leinad#1643,847,G3,13,2579.0,0,1435,565,64,15,45,746,36,710,2021-10-06 01:14:18,2022-09-06 03:27:16
72,69,11101128,30 seconds to mosh,S2,notmebus#1314,100,S2,9,0.0,0,60,4,12,1,18,25,0,25,2021-10-06 01:14:18,2022-09-06 03:27:16
73,1,9771889,30 seconds to mosh,S2,thecaptain#12345,1113,S5,6,2499.0,485,3451,236,364,74,168,2361,84,2277,2021-10-06 01:14:18,2022-09-06 03:27:16
74,97,6639996,30 seconds to mosh,S2,subzero#1577,1204,S1,10,2579.0,287,4131,529,425,36,228,2845,323,2522,2021-10-06 01:14:18,2022-09-06 03:27:16
75,6657,4293850,30 seconds to mosh,S2,dadlawnrangr#1834,1018,S3,8,2520.0,219,1679,299,147,5,892,314,39,275,2021-10-06 01:14:18,2022-09-06 03:27:16
76,15,6612101,30 seconds to mosh,S2,borntoshine#11556,1967,G4,12,2659.0,408,6649,257,3805,4,309,2101,24,2077,2021-10-06 01:14:18,2022-09-06 03:27:16
77,4,10667951,30 seconds to mosh,S2,anaressa#1611,743,S2,9,2586.0,89,2298,146,257,0,482,1365,43,1322,2021-10-06 01:14:18,2022-09-06 03:27:16
78,15372,4293850,30 seconds to mosh,S2,mowbwan#1362,1018,S3,8,2520.0,219,1679,288,147,5,832,314,39,275,2021-10-06 01:14:18,2022-09-06 03:27:16
79,9016,8045303,30 seconds to mosh,S2,direpants#125315,908,G5,11,2477.0,149,1414,374,100,25,245,607,50,557,2021-10-06 01:14:18,2022-09-06 03:27:16
80,2139,9772524,30 seconds to mosh,S2,knivers#1675,410,B1,5,2441.0,14,1006,137,119,3,599,148,16,132,2021-10-06 01:14:18,2022-09-06 03:27:16
81,9368,472181,30 seconds to mosh,S2,raka#11141,553,S5,6,2441.0,186,2023,1188,187,6,109,463,176,287,2021-10-06 01:14:18,2022-09-06 03:27:16
82,3,10958259,30 seconds to mosh,S2,aly#11717,368,S5,6,2461.0,44,708,58,65,27,58,492,40,452,2021-10-06 01:14:18,2022-09-06 03:27:16
83,42892,10807209,30 seconds to mosh,S2,yipyip#11141,263,S2,9,2556.0,155,322,23,37,0,57,175,5,170,2021-10-06 01:14:18,2022-09-06 03:27:16
